freq,psd_x,psd_y,psd_z,psd_xyz,zv(55.0),mzv(54.6),ei(48.0),2hump_ei(51.4),3hump_ei(90.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,2.553e-13,6.982e-16,5.074e-16,2.565e-13,0.995,0.993,0.989,0.984,0.989
3.0,1.895e-01,3.908e-04,4.611e-04,1.904e-01,0.989,0.984,0.974,0.962,0.974
4.5,1.550e+01,7.850e-02,1.002e-01,1.568e+01,0.981,0.973,0.954,0.934,0.957
5.9,7.385e+01,4.645e-01,6.188e-01,7.493e+01,0.971,0.960,0.929,0.899,0.936
7.4,1.409e+02,9.240e-01,1.207e+00,1.430e+02,0.960,0.944,0.901,0.860,0.913
8.9,2.537e+02,1.440e+00,1.824e+00,2.570e+02,0.947,0.927,0.869,0.816,0.887
10.4,3.449e+02,1.554e+00,1.995e+00,3.485e+02,0.932,0.907,0.834,0.768,0.858
11.9,4.003e+02,1.351e+00,1.980e+00,4.036e+02,0.916,0.886,0.795,0.716,0.827
13.4,4.706e+02,1.326e+00,1.732e+00,4.737e+02,0.899,0.863,0.754,0.662,0.794
14.9,6.145e+02,1.816e+00,1.789e+00,6.181e+02,0.879,0.838,0.711,0.607,0.760
16.4,8.039e+02,2.952e+00,1.829e+00,8.087e+02,0.859,0.811,0.666,0.550,0.723
17.8,5.540e+02,1.981e+00,1.805e+00,5.578e+02,0.837,0.783,0.619,0.493,0.686
19.3,4.053e+02,1.406e+00,1.945e+00,4.086e+02,0.814,0.754,0.571,0.437,0.648
20.8,4.783e+02,2.157e+00,2.292e+00,4.828e+02,0.789,0.724,0.523,0.382,0.609
22.3,5.823e+02,3.347e+00,2.534e+00,5.882e+02,0.763,0.692,0.474,0.328,0.569
23.8,7.272e+02,4.586e+00,2.742e+00,7.345e+02,0.736,0.660,0.426,0.278,0.530
25.3,8.948e+02,6.441e+00,3.376e+00,9.046e+02,0.708,0.626,0.378,0.230,0.490
26.8,1.035e+03,1.001e+01,3.856e+00,1.049e+03,0.678,0.592,0.332,0.186,0.451
28.3,1.266e+03,1.667e+01,4.360e+00,1.287e+03,0.648,0.558,0.287,0.146,0.413
29.7,1.513e+03,2.413e+01,5.359e+00,1.542e+03,0.617,0.523,0.243,0.110,0.375
31.2,1.807e+03,3.290e+01,6.480e+00,1.846e+03,0.584,0.488,0.203,0.079,0.338
32.7,2.128e+03,4.143e+01,8.496e+00,2.178e+03,0.551,0.452,0.164,0.054,0.303
34.2,2.621e+03,5.571e+01,1.188e+01,2.688e+03,0.518,0.417,0.129,0.036,0.269
35.7,3.224e+03,8.647e+01,1.255e+01,3.323e+03,0.483,0.382,0.097,0.028,0.237
37.2,4.144e+03,1.509e+02,1.140e+01,4.306e+03,0.448,0.347,0.068,0.029,0.206
38.7,5.205e+03,2.542e+02,9.151e+00,5.468e+03,0.412,0.313,0.044,0.033,0.178
40.2,6.716e+03,4.283e+02,7.871e+00,7.152e+03,0.376,0.279,0.026,0.037,0.151
41.6,8.691e+03,8.024e+02,2.227e+01,9.515e+03,0.340,0.246,0.020,0.038,0.127
43.1,1.159e+04,1.518e+03,1.179e+02,1.323e+04,0.303,0.213,0.025,0.037,0.105
44.6,1.624e+04,2.139e+03,3.277e+02,1.871e+04,0.266,0.182,0.033,0.034,0.086
46.1,2.367e+04,2.220e+03,5.559e+02,2.644e+04,0.228,0.151,0.038,0.029,0.070
47.6,3.652e+04,2.093e+03,7.407e+02,3.935e+04,0.191,0.122,0.040,0.022,0.056
49.1,4.193e+04,2.113e+03,8.444e+02,4.489e+04,0.154,0.095,0.038,0.015,0.046
50.6,3.005e+04,1.556e+03,9.354e+02,3.254e+04,0.118,0.069,0.033,0.011,0.040
52.1,1.856e+04,8.413e+02,9.011e+02,2.030e+04,0.090,0.050,0.030,0.011,0.037
53.5,1.429e+04,5.735e+02,7.746e+02,1.564e+04,0.070,0.038,0.028,0.014,0.037
55.0,1.407e+04,5.808e+02,7.481e+02,1.540e+04,0.062,0.035,0.030,0.020,0.038
56.5,1.325e+04,6.261e+02,8.182e+02,1.470e+04,0.071,0.040,0.037,0.026,0.039
58.0,1.210e+04,7.311e+02,8.732e+02,1.370e+04,0.091,0.050,0.049,0.030,0.040
59.5,1.267e+04,9.432e+02,9.394e+02,1.456e+04,0.117,0.066,0.069,0.032,0.040
61.0,1.279e+04,1.034e+03,8.864e+02,1.471e+04,0.152,0.080,0.095,0.031,0.039
62.5,1.171e+04,9.929e+02,8.008e+02,1.350e+04,0.187,0.093,0.123,0.028,0.038
64.0,9.780e+03,9.128e+02,7.004e+02,1.139e+04,0.222,0.105,0.153,0.027,0.036
65.4,8.067e+03,8.668e+02,6.399e+02,9.573e+03,0.256,0.114,0.184,0.027,0.033
66.9,6.618e+03,8.420e+02,6.169e+02,8.077e+03,0.289,0.122,0.216,0.029,0.029
68.4,5.467e+03,8.529e+02,6.169e+02,6.937e+03,0.322,0.127,0.249,0.033,0.025
69.9,4.739e+03,9.089e+02,6.403e+02,6.288e+03,0.354,0.131,0.282,0.040,0.021
71.4,4.099e+03,9.752e+02,6.640e+02,5.738e+03,0.386,0.133,0.315,0.050,0.017
72.9,3.709e+03,1.093e+03,7.123e+02,5.514e+03,0.416,0.133,0.348,0.072,0.014
74.4,3.365e+03,1.222e+03,7.780e+02,5.365e+03,0.445,0.131,0.380,0.097,0.012
75.9,3.190e+03,1.406e+03,8.934e+02,5.490e+03,0.474,0.128,0.410,0.124,0.012
77.3,2.910e+03,1.583e+03,1.009e+03,5.502e+03,0.501,0.122,0.440,0.152,0.014
78.8,2.809e+03,1.871e+03,1.176e+03,5.856e+03,0.528,0.115,0.468,0.181,0.016
80.3,2.637e+03,2.067e+03,1.203e+03,5.907e+03,0.553,0.106,0.494,0.211,0.019
81.8,2.542e+03,2.264e+03,1.190e+03,5.996e+03,0.577,0.098,0.518,0.241,0.022
83.3,2.346e+03,2.352e+03,1.121e+03,5.819e+03,0.600,0.093,0.540,0.271,0.025
84.8,2.165e+03,2.474e+03,1.095e+03,5.735e+03,0.622,0.088,0.559,0.300,0.027
86.3,1.985e+03,2.580e+03,1.057e+03,5.623e+03,0.642,0.084,0.575,0.329,0.029
87.7,1.766e+03,2.518e+03,9.383e+02,5.222e+03,0.661,0.081,0.589,0.355,0.030
89.2,1.597e+03,2.300e+03,8.082e+02,4.705e+03,0.679,0.080,0.600,0.380,0.030
90.7,1.676e+03,2.330e+03,8.310e+02,4.837e+03,0.695,0.082,0.608,0.403,0.030
92.2,2.064e+03,2.604e+03,8.882e+02,5.557e+03,0.711,0.086,0.612,0.423,0.029
93.7,2.232e+03,2.457e+03,7.949e+02,5.484e+03,0.724,0.092,0.614,0.441,0.027
95.2,2.316e+03,2.050e+03,6.709e+02,5.037e+03,0.737,0.101,0.613,0.455,0.025
96.7,2.307e+03,1.550e+03,5.508e+02,4.408e+03,0.748,0.111,0.608,0.466,0.022
98.2,2.418e+03,1.164e+03,4.164e+02,3.998e+03,0.757,0.124,0.601,0.474,0.019
99.6,2.420e+03,8.344e+02,3.311e+02,3.586e+03,0.765,0.137,0.591,0.478,0.016
101.1,2.550e+03,6.656e+02,3.347e+02,3.551e+03,0.772,0.159,0.578,0.479,0.014
102.6,2.636e+03,5.722e+02,3.850e+02,3.593e+03,0.777,0.184,0.562,0.476,0.013
104.1,2.812e+03,5.213e+02,4.799e+02,3.814e+03,0.781,0.209,0.545,0.470,0.012
105.6,2.880e+03,4.814e+02,6.092e+02,3.971e+03,0.783,0.233,0.524,0.460,0.012
107.1,3.067e+03,4.668e+02,7.752e+02,4.309e+03,0.784,0.258,0.502,0.448,0.013
108.6,3.249e+03,4.517e+02,9.572e+02,4.658e+03,0.784,0.283,0.478,0.432,0.013
110.1,3.370e+03,4.535e+02,1.110e+03,4.934e+03,0.782,0.308,0.453,0.414,0.014
111.5,3.520e+03,4.829e+02,1.274e+03,5.277e+03,0.778,0.332,0.426,0.394,0.017
113.0,3.708e+03,5.007e+02,1.455e+03,5.664e+03,0.774,0.356,0.399,0.371,0.020
114.5,4.030e+03,5.568e+02,1.743e+03,6.330e+03,0.768,0.380,0.370,0.347,0.022
116.0,4.045e+03,5.949e+02,1.946e+03,6.586e+03,0.760,0.403,0.341,0.322,0.024
117.5,4.462e+03,6.845e+02,2.348e+03,7.495e+03,0.752,0.425,0.312,0.296,0.025
119.0,4.697e+03,7.380e+02,2.651e+03,8.086e+03,0.742,0.446,0.283,0.269,0.025
120.5,5.271e+03,8.657e+02,3.165e+03,9.302e+03,0.731,0.467,0.254,0.242,0.024
122.0,5.222e+03,9.356e+02,3.356e+03,9.514e+03,0.718,0.486,0.226,0.216,0.023
123.4,5.104e+03,1.000e+03,3.563e+03,9.666e+03,0.705,0.505,0.199,0.190,0.024
124.9,3.173e+03,7.677e+02,2.603e+03,6.544e+03,0.690,0.522,0.173,0.165,0.024
126.4,1.769e+03,5.389e+02,1.797e+03,4.105e+03,0.674,0.538,0.157,0.141,0.025
127.9,1.298e+03,4.236e+02,1.408e+03,3.129e+03,0.657,0.553,0.146,0.119,0.026
129.4,1.123e+03,3.701e+02,1.200e+03,2.693e+03,0.639,0.567,0.136,0.098,0.028
130.9,1.026e+03,3.340e+02,1.061e+03,2.421e+03,0.620,0.579,0.127,0.089,0.030
132.4,9.278e+02,2.944e+02,9.322e+02,2.154e+03,0.600,0.590,0.119,0.082,0.033
133.9,7.840e+02,2.328e+02,7.529e+02,1.770e+03,0.579,0.599,0.112,0.076,0.037
135.3,5.909e+02,1.270e+02,4.541e+02,1.172e+03,0.558,0.608,0.107,0.070,0.041
136.8,4.566e+02,7.561e+01,3.097e+02,8.419e+02,0.535,0.614,0.102,0.066,0.050
138.3,4.339e+02,7.079e+01,2.952e+02,7.999e+02,0.512,0.619,0.099,0.062,0.062
139.8,3.762e+02,5.906e+01,2.455e+02,6.807e+02,0.488,0.623,0.097,0.058,0.076
141.3,3.558e+02,5.988e+01,2.420e+02,6.577e+02,0.464,0.625,0.096,0.055,0.090
142.8,3.710e+02,7.901e+01,2.834e+02,7.334e+02,0.439,0.626,0.095,0.053,0.105
144.3,3.456e+02,8.683e+01,2.922e+02,7.246e+02,0.414,0.625,0.095,0.051,0.120
145.8,3.919e+02,1.023e+02,3.412e+02,8.354e+02,0.388,0.622,0.097,0.050,0.136
147.2,3.366e+02,9.900e+01,2.976e+02,7.333e+02,0.372,0.619,0.098,0.049,0.152
148.7,3.224e+02,8.634e+01,2.627e+02,6.715e+02,0.359,0.613,0.101,0.048,0.168
150.2,2.462e+02,6.259e+01,1.724e+02,4.812e+02,0.346,0.607,0.104,0.047,0.185
151.7,2.090e+02,5.307e+01,1.322e+02,3.942e+02,0.334,0.599,0.108,0.047,0.201
153.2,2.102e+02,4.923e+01,1.217e+02,3.811e+02,0.323,0.590,0.113,0.047,0.217
154.7,1.867e+02,4.746e+01,1.058e+02,3.399e+02,0.314,0.579,0.119,0.047,0.233
156.2,1.946e+02,4.536e+01,1.086e+02,3.486e+02,0.305,0.567,0.125,0.048,0.249
157.6,1.602e+02,3.951e+01,8.614e+01,2.859e+02,0.297,0.554,0.132,0.048,0.264
159.1,1.581e+02,3.983e+01,8.477e+01,2.827e+02,0.291,0.540,0.139,0.049,0.278
