freq,psd_x,psd_y,psd_z,psd_xyz,zv(46.2),mzv(42.4),ei(48.0),2hump_ei(60.2),3hump_ei(72.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,3.585e-16,2.581e-13,1.731e-15,2.602e-13,0.994,0.991,0.989,0.987,0.986
3.0,5.218e-04,1.916e-01,3.843e-04,1.925e-01,0.986,0.978,0.974,0.969,0.966
4.5,1.151e-01,1.642e+01,7.260e-02,1.661e+01,0.976,0.962,0.954,0.947,0.942
5.9,6.813e-01,8.041e+01,4.332e-01,8.153e+01,0.963,0.942,0.929,0.920,0.914
7.4,1.420e+00,1.553e+02,9.767e-01,1.577e+02,0.948,0.918,0.901,0.889,0.881
8.9,2.124e+00,2.929e+02,1.471e+00,2.964e+02,0.930,0.892,0.869,0.855,0.845
10.4,2.299e+00,3.995e+02,1.614e+00,4.034e+02,0.911,0.862,0.834,0.817,0.805
11.9,2.103e+00,5.263e+02,1.359e+00,5.298e+02,0.889,0.830,0.795,0.776,0.763
13.4,2.893e+00,6.905e+02,1.430e+00,6.948e+02,0.865,0.795,0.754,0.733,0.718
14.9,7.219e+00,1.134e+03,1.429e+00,1.143e+03,0.839,0.758,0.711,0.687,0.671
16.4,1.810e+01,1.229e+03,1.406e+00,1.248e+03,0.811,0.719,0.666,0.641,0.623
17.8,1.487e+01,4.971e+02,1.310e+00,5.133e+02,0.782,0.678,0.619,0.593,0.575
19.3,3.855e+00,2.779e+02,1.442e+00,2.832e+02,0.750,0.635,0.571,0.544,0.526
20.8,2.872e+00,3.994e+02,2.000e+00,4.043e+02,0.717,0.591,0.523,0.496,0.477
22.3,3.664e+00,5.556e+02,2.878e+00,5.622e+02,0.682,0.547,0.474,0.447,0.429
23.8,5.481e+00,7.461e+02,4.396e+00,7.560e+02,0.646,0.502,0.426,0.400,0.382
25.3,1.142e+01,9.871e+02,6.422e+00,1.005e+03,0.609,0.456,0.378,0.354,0.336
26.8,2.023e+01,1.370e+03,1.150e+01,1.402e+03,0.570,0.411,0.332,0.309,0.293
28.3,3.438e+01,1.937e+03,2.344e+01,1.995e+03,0.530,0.365,0.287,0.267,0.251
29.7,5.655e+01,2.814e+03,4.986e+01,2.920e+03,0.490,0.321,0.243,0.226,0.213
31.2,7.402e+01,3.964e+03,1.122e+02,4.150e+03,0.448,0.277,0.202,0.189,0.177
32.7,8.788e+01,5.769e+03,2.516e+02,6.108e+03,0.405,0.235,0.164,0.154,0.145
34.2,9.579e+01,9.163e+03,7.708e+02,1.003e+04,0.362,0.194,0.129,0.122,0.116
35.7,1.472e+02,1.319e+04,1.912e+03,1.525e+04,0.318,0.154,0.097,0.094,0.091
37.2,2.985e+02,1.701e+04,3.605e+03,2.091e+04,0.274,0.117,0.068,0.070,0.070
38.7,4.148e+02,2.011e+04,5.658e+03,2.618e+04,0.230,0.082,0.044,0.050,0.054
40.2,4.953e+02,2.103e+04,8.297e+03,2.982e+04,0.186,0.053,0.026,0.036,0.043
41.6,5.280e+02,1.802e+04,9.716e+03,2.826e+04,0.142,0.037,0.020,0.028,0.038
43.1,5.636e+02,1.481e+04,1.108e+04,2.646e+04,0.103,0.036,0.025,0.028,0.037
44.6,5.468e+02,1.132e+04,1.248e+04,2.434e+04,0.075,0.046,0.033,0.031,0.038
46.1,8.689e+02,8.632e+03,1.666e+04,2.617e+04,0.062,0.064,0.038,0.035,0.039
47.6,1.807e+03,6.285e+03,2.012e+04,2.821e+04,0.073,0.083,0.040,0.038,0.040
49.1,2.470e+03,4.187e+03,2.088e+04,2.754e+04,0.098,0.099,0.038,0.038,0.039
50.6,1.562e+03,2.212e+03,1.549e+04,1.927e+04,0.134,0.112,0.033,0.037,0.038
52.1,9.747e+02,1.302e+03,1.184e+04,1.412e+04,0.176,0.122,0.030,0.035,0.035
53.5,6.653e+02,8.003e+02,7.934e+03,9.400e+03,0.217,0.129,0.028,0.030,0.031
55.0,5.068e+02,4.481e+02,6.078e+03,7.033e+03,0.258,0.133,0.030,0.025,0.026
56.5,4.949e+02,2.720e+02,4.472e+03,5.239e+03,0.297,0.133,0.037,0.019,0.021
58.0,5.216e+02,1.839e+02,3.427e+03,4.132e+03,0.336,0.131,0.049,0.013,0.016
59.5,5.275e+02,1.674e+02,2.566e+03,3.260e+03,0.374,0.125,0.069,0.011,0.013
61.0,5.368e+02,1.593e+02,1.991e+03,2.687e+03,0.410,0.116,0.095,0.011,0.012
62.5,4.093e+02,1.936e+02,1.705e+03,2.308e+03,0.446,0.105,0.123,0.013,0.014
64.0,2.470e+02,2.281e+02,1.468e+03,1.943e+03,0.479,0.096,0.153,0.019,0.017
65.4,1.573e+02,2.516e+02,1.217e+03,1.625e+03,0.512,0.090,0.184,0.024,0.021
66.9,1.085e+02,2.590e+02,1.012e+03,1.380e+03,0.542,0.084,0.216,0.028,0.024
68.4,8.214e+01,2.795e+02,8.804e+02,1.242e+03,0.572,0.081,0.249,0.031,0.027
69.9,6.456e+01,3.205e+02,8.001e+02,1.185e+03,0.599,0.081,0.282,0.032,0.029
71.4,5.336e+01,4.160e+02,7.673e+02,1.237e+03,0.625,0.085,0.315,0.031,0.030
72.9,4.831e+01,4.808e+02,7.470e+02,1.276e+03,0.649,0.093,0.348,0.029,0.030
74.4,3.750e+01,5.151e+02,7.206e+02,1.273e+03,0.671,0.105,0.380,0.027,0.029
75.9,3.406e+01,5.588e+02,6.787e+02,1.271e+03,0.691,0.120,0.411,0.027,0.027
77.3,2.730e+01,5.981e+02,6.363e+02,1.262e+03,0.709,0.137,0.440,0.028,0.024
78.8,2.700e+01,6.685e+02,6.222e+02,1.318e+03,0.726,0.165,0.468,0.030,0.020
80.3,2.393e+01,7.293e+02,5.948e+02,1.348e+03,0.740,0.197,0.494,0.034,0.016
81.8,1.954e+01,7.741e+02,5.954e+02,1.389e+03,0.752,0.229,0.518,0.040,0.014
83.3,1.519e+01,8.365e+02,6.411e+02,1.493e+03,0.763,0.261,0.540,0.047,0.013
84.8,1.857e+01,9.311e+02,7.073e+02,1.657e+03,0.771,0.293,0.559,0.065,0.012
86.3,2.419e+01,1.024e+03,7.529e+02,1.801e+03,0.777,0.325,0.576,0.085,0.012
87.8,3.418e+01,1.076e+03,8.229e+02,1.933e+03,0.782,0.356,0.589,0.107,0.013
89.2,4.513e+01,9.216e+02,9.019e+02,1.869e+03,0.784,0.386,0.600,0.130,0.015
90.7,5.865e+01,7.732e+02,1.096e+03,1.928e+03,0.784,0.415,0.608,0.154,0.018
92.2,6.648e+01,8.419e+02,1.290e+03,2.199e+03,0.782,0.443,0.612,0.179,0.022
93.7,5.451e+01,8.368e+02,1.464e+03,2.355e+03,0.778,0.469,0.614,0.205,0.024
95.2,3.970e+01,6.808e+02,1.238e+03,1.958e+03,0.773,0.494,0.613,0.230,0.025
96.7,2.975e+01,4.630e+02,9.969e+02,1.490e+03,0.765,0.517,0.608,0.256,0.025
98.2,2.482e+01,3.251e+02,6.871e+02,1.037e+03,0.756,0.538,0.601,0.281,0.023
99.7,2.406e+01,2.157e+02,4.354e+02,6.752e+02,0.744,0.557,0.591,0.306,0.024
101.1,2.145e+01,1.577e+02,2.593e+02,4.384e+02,0.731,0.574,0.578,0.330,0.024
102.6,2.322e+01,1.470e+02,1.384e+02,3.086e+02,0.716,0.588,0.562,0.353,0.026
104.1,1.696e+01,1.651e+02,6.377e+01,2.458e+02,0.700,0.601,0.544,0.375,0.028
105.6,1.683e+01,1.567e+02,3.135e+01,2.048e+02,0.682,0.611,0.524,0.395,0.030
107.1,2.030e+01,1.233e+02,2.109e+01,1.647e+02,0.662,0.618,0.502,0.413,0.034
108.6,2.956e+01,9.710e+01,1.737e+01,1.440e+02,0.641,0.623,0.478,0.430,0.039
110.1,2.787e+01,6.649e+01,1.693e+01,1.113e+02,0.618,0.625,0.453,0.444,0.046
111.6,2.050e+01,4.369e+01,1.331e+01,7.750e+01,0.594,0.625,0.426,0.456,0.062
113.0,2.658e+01,3.715e+01,1.515e+01,7.888e+01,0.569,0.623,0.398,0.465,0.078
114.5,2.647e+01,3.145e+01,1.613e+01,7.405e+01,0.543,0.618,0.370,0.472,0.096
116.0,3.059e+01,2.755e+01,1.786e+01,7.600e+01,0.515,0.611,0.341,0.477,0.115
117.5,4.046e+01,2.791e+01,2.318e+01,9.155e+01,0.487,0.601,0.312,0.479,0.134
119.0,3.291e+01,2.733e+01,2.186e+01,8.209e+01,0.458,0.589,0.283,0.478,0.154
120.5,3.879e+01,3.014e+01,2.764e+01,9.657e+01,0.428,0.575,0.254,0.475,0.174
