freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.459e+03,8.365e+01,4.735e+01,4.590e+03
1.5,2.617e+04,6.954e+01,4.577e+01,2.628e+04
3.0,8.382e+03,2.128e+01,1.871e+01,8.422e+03
4.5,3.168e+03,1.939e+01,1.752e+01,3.205e+03
6.0,2.480e+03,1.922e+01,1.771e+01,2.517e+03
7.4,2.251e+03,1.855e+01,1.875e+01,2.289e+03
8.9,2.809e+03,1.767e+01,1.906e+01,2.846e+03
10.4,3.540e+03,1.819e+01,2.012e+01,3.578e+03
11.9,4.664e+03,2.031e+01,2.028e+01,4.705e+03
13.4,6.070e+03,2.186e+01,2.439e+01,6.116e+03
14.9,9.009e+03,3.938e+01,2.874e+01,9.078e+03
16.4,1.334e+04,3.015e+02,3.512e+01,1.368e+04
17.9,9.811e+03,4.624e+02,3.375e+01,1.031e+04
19.4,6.173e+03,1.270e+02,3.381e+01,6.334e+03
20.8,9.218e+03,4.445e+01,4.661e+01,9.309e+03
22.3,1.302e+04,4.234e+01,6.193e+01,1.312e+04
23.8,1.687e+04,5.120e+01,7.648e+01,1.699e+04
25.3,2.106e+04,7.879e+01,8.953e+01,2.123e+04
26.8,2.525e+04,1.138e+02,9.639e+01,2.546e+04
28.3,3.200e+04,1.708e+02,1.302e+02,3.231e+04
29.8,4.051e+04,2.574e+02,1.797e+02,4.094e+04
31.3,5.245e+04,4.035e+02,2.720e+02,5.312e+04
32.8,6.701e+04,5.598e+02,4.306e+02,6.800e+04
34.2,8.769e+04,8.238e+02,6.993e+02,8.922e+04
35.7,1.114e+05,1.193e+03,9.536e+02,1.135e+05
37.2,1.497e+05,2.025e+03,1.287e+03,1.530e+05
38.7,1.976e+05,3.694e+03,1.647e+03,2.029e+05
40.2,2.697e+05,6.559e+03,2.081e+03,2.784e+05
41.7,3.681e+05,1.208e+04,2.147e+03,3.823e+05
43.2,5.197e+05,2.446e+04,2.177e+03,5.463e+05
44.7,7.464e+05,4.155e+04,6.224e+03,7.942e+05
46.2,1.127e+06,5.039e+04,1.841e+04,1.195e+06
47.6,1.684e+06,5.005e+04,3.603e+04,1.770e+06
49.1,1.849e+06,4.344e+04,4.739e+04,1.940e+06
50.6,1.330e+06,2.971e+04,4.270e+04,1.403e+06
52.1,8.638e+05,2.039e+04,3.260e+04,9.168e+05
53.6,7.422e+05,1.878e+04,2.621e+04,7.872e+05
55.1,8.133e+05,2.043e+04,2.807e+04,8.618e+05
56.6,1.016e+06,2.758e+04,3.796e+04,1.082e+06
58.1,1.122e+06,3.685e+04,4.758e+04,1.207e+06
59.6,1.098e+06,4.508e+04,5.380e+04,1.197e+06
61.0,9.459e+05,4.939e+04,5.197e+04,1.047e+06
62.5,7.853e+05,5.087e+04,4.563e+04,8.818e+05
64.0,6.277e+05,4.836e+04,3.967e+04,7.158e+05
65.5,5.317e+05,4.802e+04,3.733e+04,6.171e+05
67.0,4.552e+05,4.923e+04,3.687e+04,5.412e+05
68.5,3.949e+05,5.179e+04,3.719e+04,4.839e+05
70.0,3.464e+05,5.512e+04,3.787e+04,4.394e+05
71.5,3.093e+05,5.965e+04,3.918e+04,4.081e+05
73.0,2.864e+05,6.549e+04,4.198e+04,3.939e+05
74.4,2.649e+05,7.106e+04,4.420e+04,3.801e+05
75.9,2.531e+05,7.834e+04,4.757e+04,3.790e+05
77.4,2.393e+05,8.542e+04,5.134e+04,3.761e+05
78.9,2.355e+05,9.639e+04,5.722e+04,3.892e+05
80.4,2.304e+05,1.049e+05,5.905e+04,3.943e+05
81.9,2.337e+05,1.125e+05,5.759e+04,4.038e+05
83.4,2.295e+05,1.169e+05,5.420e+04,4.006e+05
84.9,2.320e+05,1.297e+05,5.575e+04,4.175e+05
86.4,2.247e+05,1.435e+05,5.951e+04,4.277e+05
87.8,2.217e+05,1.616e+05,6.369e+04,4.470e+05
89.3,2.106e+05,1.678e+05,6.014e+04,4.386e+05
90.8,2.260e+05,1.917e+05,6.177e+04,4.795e+05
92.3,2.601e+05,2.397e+05,6.629e+04,5.661e+05
93.8,2.851e+05,2.885e+05,6.424e+04,6.379e+05
95.3,2.892e+05,3.251e+05,5.554e+04,6.698e+05
