freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.385e+01,3.933e+03,2.899e+02,4.237e+03
1.5,2.875e+01,2.543e+04,1.809e+02,2.564e+04
3.0,2.256e+01,8.456e+03,1.719e+01,8.496e+03
4.4,2.193e+01,3.254e+03,1.620e+01,3.292e+03
5.9,2.287e+01,2.658e+03,1.579e+01,2.697e+03
7.4,2.291e+01,2.265e+03,1.699e+01,2.305e+03
8.9,2.562e+01,3.081e+03,1.735e+01,3.124e+03
10.4,2.529e+01,3.576e+03,1.797e+01,3.619e+03
11.9,2.482e+01,5.028e+03,1.765e+01,5.070e+03
13.3,2.993e+01,6.866e+03,2.377e+01,6.920e+03
14.8,5.476e+01,1.023e+04,3.357e+01,1.031e+04
16.3,8.986e+01,1.045e+04,3.891e+01,1.058e+04
17.8,1.392e+02,7.311e+03,3.618e+01,7.487e+03
19.3,1.365e+02,8.666e+03,3.659e+01,8.839e+03
20.7,8.905e+01,1.153e+04,4.053e+01,1.166e+04
22.2,7.419e+01,1.704e+04,5.821e+01,1.717e+04
23.7,9.909e+01,2.320e+04,9.653e+01,2.340e+04
25.2,1.444e+02,3.253e+04,1.586e+02,3.283e+04
26.7,1.671e+02,4.155e+04,2.659e+02,4.198e+04
28.2,2.520e+02,5.551e+04,5.155e+02,5.628e+04
29.6,4.684e+02,7.671e+04,1.088e+03,7.827e+04
31.1,9.590e+02,1.107e+05,2.142e+03,1.138e+05
32.6,1.630e+03,1.701e+05,5.121e+03,1.768e+05
34.1,1.915e+03,2.769e+05,1.777e+04,2.966e+05
35.6,2.422e+03,5.683e+05,7.977e+04,6.505e+05
37.0,3.734e+03,9.222e+05,1.847e+05,1.111e+06
38.5,4.875e+03,1.275e+06,3.579e+05,1.637e+06
40.0,5.317e+03,1.177e+06,4.692e+05,1.651e+06
41.5,6.517e+03,8.277e+05,4.941e+05,1.328e+06
43.0,6.791e+03,5.269e+05,4.926e+05,1.026e+06
44.5,8.739e+03,3.553e+05,5.401e+05,9.042e+05
45.9,1.381e+04,2.574e+05,6.065e+05,8.777e+05
47.4,2.365e+04,2.529e+05,6.950e+05,9.716e+05
48.9,3.826e+04,2.705e+05,6.757e+05,9.844e+05
50.4,4.359e+04,2.256e+05,5.750e+05,8.442e+05
51.9,3.973e+04,1.687e+05,4.788e+05,6.872e+05
53.3,3.639e+04,1.189e+05,3.945e+05,5.498e+05
54.8,3.492e+04,8.973e+04,3.405e+05,4.652e+05
56.3,2.980e+04,6.694e+04,2.850e+05,3.817e+05
57.8,2.454e+04,5.564e+04,2.422e+05,3.224e+05
59.3,1.891e+04,4.956e+04,1.999e+05,2.684e+05
60.8,1.761e+04,4.430e+04,1.693e+05,2.312e+05
62.2,1.560e+04,3.732e+04,1.381e+05,1.910e+05
63.7,1.290e+04,3.210e+04,1.150e+05,1.600e+05
65.2,9.732e+03,2.980e+04,9.763e+04,1.372e+05
66.7,6.822e+03,2.866e+04,8.373e+04,1.192e+05
68.2,4.954e+03,2.888e+04,7.199e+04,1.058e+05
69.6,3.759e+03,3.023e+04,6.551e+04,9.950e+04
71.1,3.031e+03,3.480e+04,6.206e+04,9.989e+04
72.6,2.822e+03,3.803e+04,5.914e+04,9.999e+04
74.1,2.641e+03,4.178e+04,5.460e+04,9.902e+04
75.6,2.546e+03,4.488e+04,5.458e+04,1.020e+05
77.1,2.318e+03,4.888e+04,5.679e+04,1.080e+05
78.5,2.311e+03,5.207e+04,5.656e+04,1.109e+05
80.0,2.014e+03,5.670e+04,5.869e+04,1.174e+05
81.5,1.951e+03,5.850e+04,5.879e+04,1.192e+05
83.0,1.646e+03,5.965e+04,5.988e+04,1.212e+05
84.5,1.566e+03,6.620e+04,6.427e+04,1.320e+05
85.9,1.776e+03,6.840e+04,6.915e+04,1.393e+05
87.4,2.147e+03,7.051e+04,7.659e+04,1.492e+05
88.9,2.185e+03,7.577e+04,8.790e+04,1.659e+05
90.4,2.487e+03,8.046e+04,1.020e+05,1.849e+05
91.9,2.213e+03,7.248e+04,1.019e+05,1.766e+05
93.4,2.282e+03,6.551e+04,8.682e+04,1.546e+05
94.8,2.705e+03,5.449e+04,7.223e+04,1.294e+05
96.3,3.309e+03,4.863e+04,6.271e+04,1.147e+05
97.8,3.992e+03,4.984e+04,5.649e+04,1.103e+05
99.3,4.706e+03,5.512e+04,5.154e+04,1.114e+05
100.8,4.808e+03,4.843e+04,4.417e+04,9.740e+04
102.2,5.813e+03,4.725e+04,3.813e+04,9.120e+04
103.7,6.521e+03,4.250e+04,2.977e+04,7.879e+04
105.2,4.856e+03,3.029e+04,1.727e+04,5.241e+04
106.7,4.619e+03,2.757e+04,1.255e+04,4.474e+04
108.2,4.338e+03,2.495e+04,1.086e+04,4.014e+04
109.7,5.200e+03,2.220e+04,9.494e+03,3.689e+04
111.1,5.882e+03,2.023e+04,9.140e+03,3.526e+04
112.6,6.737e+03,1.826e+04,8.846e+03,3.384e+04
114.1,7.237e+03,1.573e+04,7.828e+03,3.079e+04
115.6,6.481e+03,1.218e+04,5.851e+03,2.451e+04
117.1,5.832e+03,9.452e+03,4.820e+03,2.010e+04
118.6,5.000e+03,8.718e+03,4.074e+03,1.779e+04
120.0,4.428e+03,7.966e+03,3.593e+03,1.599e+04
121.5,4.140e+03,8.174e+03,3.461e+03,1.578e+04
123.0,4.415e+03,7.948e+03,3.322e+03,1.569e+04
124.5,5.126e+03,7.460e+03,3.771e+03,1.636e+04
126.0,5.997e+03,7.740e+03,4.182e+03,1.792e+04
127.4,6.990e+03,6.697e+03,5.507e+03,1.919e+04
128.9,5.995e+03,6.316e+03,5.361e+03,1.767e+04
130.4,5.804e+03,5.824e+03,5.532e+03,1.716e+04
131.9,6.744e+03,5.486e+03,7.108e+03,1.934e+04
133.4,7.227e+03,4.978e+03,8.364e+03,2.057e+04
134.9,7.879e+03,3.393e+03,7.601e+03,1.887e+04
136.3,6.669e+03,2.475e+03,6.444e+03,1.559e+04
137.8,7.824e+03,2.286e+03,7.112e+03,1.722e+04
139.3,7.211e+03,2.412e+03,6.528e+03,1.615e+04
140.8,8.274e+03,3.744e+03,7.677e+03,1.969e+04
142.3,7.708e+03,3.464e+03,7.073e+03,1.825e+04
143.7,7.225e+03,2.931e+03,6.934e+03,1.709e+04
